feature,importance
temperature,0.006892905570566654
dew_point,0.003927815239876509
pressure,0.003340126946568489
rain,0.00489400327205658
wind_speed,0.012015148997306824
temp_pres_interaction,0.005205031018704176
dew_point_spread,0.011534152552485466
rain_binary,0.0
area_type,0.002862188732251525
hour_sin,0.005345554556697607
hour_cos,0.005310147535055876
month_sin,0.003122540656477213
month_cos,0.005727272015064955
season,0.0035323381889611483
day_of_week,0.006022155284881592
month,0.005831575021147728
year,0.0031953209545463324
station,0.001568952458910644
relative_humidity,0.014101309701800346
pm25_lag_1h,0.869152307510376
pm25_lag_3h,0.005187765695154667
pm25_lag_6h,0.003896663198247552
pm25_lag_12h,0.003233241615816951
pm25_lag_18h,0.00344578898511827
pm25_roll_3h_mean,0.0023210039362311363
pm25_roll_6h_mean,0.0023699032608419657
pm25_roll_12h_mean,0.001044415170326829
pm25_roll_18h_mean,0.0049203503876924515
